s1-1,"J.P. Blewett, BNL, Upton, New York, USA","Applications of Linear Accelerators",99 98,
s1-10,"J.-P. Auclair, P.-A. Chamouard, J.-L. Lemaire, CEN/Saclay, Gif-sur-Yvette, France","Linac Efficiency and Beam Qualities in p, d, 32He and 42He Acceleration",37 42,
s1-11,"J.-P. Auclair, P.-A. Chamouard, J.-L. Lemaire, CEN/Saclay, Gif-sur-Yvette, France","Limitations and Improvements of Heavy Ion Acceleration with a 20-MeV Proton Linac",43 46,
s1-12,"D.S. Barton, R.L. Witkover, BNL, Upton, New York, USA","Plans for H- Acceleration in the AGS Linac",47 52,
s1-13,"W.E. Stein, C.A. Brau, T.R. Loree, S.D. Rockwood, LASL, Los Alamos, New Mexico, USA","RF Linac-Pumped Lasers",53 56,
s1-14,"W.E. Stein, LASL, Los Alamos, New Mexico, USA","LASL Electron Linac Workshop",57 58,
s1-2,"S.-H. Wang, Y.-J. Chang, T.-H. Lo, Y.-H. Lo, IHEP Beijing, Beijing , China","Design Study of the Beijing 200 MeV Proton Linac",5 7,
s1-3,"J. Tanaka, S. Anami, A. Enomoto, S. Fukuda, K. Matsumoto, K. Nakahara, I. Sato, T. Shidara, KEK, Ibaraki, Japan","The Photon Factory 2.5 GeV Injector Electron Linac",8 12,
s1-4,"K. Batchelor, J. Bittner, T. Dickinson, V. Racaniello, J. Sheehan, BNL, Upton, New York, USA","The Linac for the National Synchrotron Light Source",13 16,
s1-5,"N. Angert, D. Böhne, J. Klabunde, H. Trautmann, GSI, Darmstadt, Germany","The UNILAC Upgrading Program",17 20,
s1-6,"E.L. Kemp, D.J. Liska, M.D. Machalek, LASL, Los Alamos, New Mexico, USA","The Fusion Materials Irradiation Test (FMIT) Accelerator",21 24,
s1-7,"K.E. Melson, J.A. Farrell, D.J. Liska, P. Meads, LASL, Los Alamos, New Mexico, USA","A High-Energy Beam Transport System",25 27,
s1-8,"M. Odera, Y. Chiba, T. Kambara, RIKEN, Wako, Saitama, Japan","Status of the Variable Frequency Heavy Ion Linac, RILAC",28 31,
s1-9,"D. Comastra, New England Nuclear Corporation, Billerica, Massachusetts, USA","Accelerating Structure Parameters of the New England Nuclear Corp. Proton Linac",32 36,
s2-1,"D.L. Judd, LBL, Berkeley, California, USA","High-Current Heavy-Ion Linacs as Igniters for Commercial-Scale Inertial Fusion Power Plants",61 65,
s2-10,"K.W. Zieher, G. Hochschild, A. Hornung, FZK, Karlsruhe, Germany; J.P. Fouan, J. Gastebois, P. Joly, CEN/Saclay, Gif-sur-Yvette, France","Operation of the Karlsruhe Superconducting Post Accelerator Test Section in the Saclay Tandem Heavy Ion Beam",114 117,
s2-11,"V.I. Artyomov, V.A. Vishnyakov, A.N. Dovbnya, N.A. Kovalenko, Kharkov Institute of Physics and Technology, Kharkov, USSR","Precision Beam Formation in 2 GeV Linear Accelerator of Electrons",118 121,
s2-12,"Yu.P. Vakhrushin, V.M. Nikolaev, A.V. Rjactsov, Yu.P. Severgin, V.L. Smirnov, Yu.A. Svistunov, D.V. Efremov Institute of Electrophysical Apparatus, Leningrad, USSR","A 5-MeV Electron Linac with High Energy Resolution",122 126,
s2-2,"E. Boltezar, H. Haseroth, W. Pirkl, G. Plass, T. Sherwood, U. Tallgren, P. Têtu, D.J. Warner, M. Weiss, CERN, Geneva, Switzerland","The New CERN 50-MeV Linac",66 77,
s2-3,"D.C. Hagerman, LASL, Los Alamos, New Mexico, USA","LAMPF Operations at 500 uA",78 82,
s2-4,"N.M. Fewell, V. LoDestro, BNL, Upton, New York, USA","Operation of the Brookhaven 200-MeV Linac",83 87,
s2-5,"N.D. West, RHEL, Didcot, Oxfordshire, UK","The Rutherford Laboratory 70-MeV Linear Accelerator",88 93,
