a101,"P.V. Livdahl, Fermilab, Batavia, Illinois, USA","The Livermore MTA Project and its Influence on Modern Linacs",5 11,
a102,"J. Ungrin, J.C. Brown, B.G. Chidley, R.M. Hutcheon, G.E. McMichael, S.O. Schriber, Atomic Energy of Canada, Chalk River, Ontario, Canada","Low Energy 100% Duty Factor Alvarez Linacs at Chalk River",12 14,
a103,"N. Angert, D. Böhne, GSI, Darmstadt, Germany","Status Report on Operation and Upgrading of the Unilac",15 17,
a201,"A. Citron, FZK, Karlsruhe, Germany","The Linear Accelerator for the Proposed German Spallation Source",18 21,
a202,"H. Euteneuer, H. Aufhaus, H. Herminghaus, W. Heyne, K.H. Kaiser, H.J. Kreidel, U. Ludwig-Mertin, K. Merle, H. von der Schmitt, H. Schoeler, G. Stephan, IKP, Mainz, Germany","Operating Experience with MAMI I",22 24,
a203,"J. Aron, R. Benaroya, L.M. Bollinger, B.E. Clifft, K.W. Johnson, P. Markovich, J.M. Nixon, R. Pardo, K.W. Shepard, G. Zinkann, ANL, Argonne, Illinois, USA","Status of the Argonne Superconducting-Linac Heavy-Ion Booster",25 28,
b01,"K.R. Crandall, R.H. Stokes, T.P. Wangler, LANL, Los Alamos, New Mexico, USA; M. Pabst, FZK, Karlsruhe, Germany","Octupole Focusing in Transport and Acceleration Systems",31 35,
b02,"G.P. Boicourt, R.A. Jameson, R.S. Mills, LANL, Los Alamos, New Mexico, USA","Matching the RF Quadrupole Beam to the Drift Tube Section in the FMIT Accelerator",36 38,
b03,"D. Schulze, FZK, Karlsruhe, Germany","Dead Beat Filling and Feedforward RF Control for the Spallation Neutron Source SNQ",39 42,
b04,"B. Piosczyk, FZK, Karlsruhe, Germany","Preaccelerator Design and Component Development for the SNQ Linear Accelerator",43 45,
b05,"K.C.D. Chan, J. McKeown, Atomic Energy of Canada, Chalk River, Ontario, Canada","A Beam Cavity Interaction Computer Code for Linacs",46 48,
b06,"B.G. Chidley, J.C. Brown, G.E. McMichael, S.O. Schriber, M.R. Shubaly, J. Ungrin, Atomic Energy of Canada, Chalk River, Ontario, Canada","Design and Constraints for the ZEBRA Injector, RFQ and DTL",49 52,
b07,"L.J. Allen, C.D. Curtis, B.M. Hanna, Fermilab, Batavia, Illinois, USA","Loss Monitors for the Fermilab Linac",53 55,
b08,"J.D. Hepburn, W.L. Michel, Atomic Energy of Canada, Chalk River, Ontario, Canada","A Microprocessor-Controlled Bead Puller for RF Cavity Measurements",56 58,
b09,"S. Fukumoto, Z. Igarashi, K. Ito, T. Kato, C. Kubota, Y. Mori, A. Takagi, E. Takasaki, T. Takenaka, KEK, Ibaraki, Japan","KEK Polarized Proton Preaccelerator",59 61,
b10,"R.F. Koontz, SLAC, Menlo Park, California, USA","CID Thermionic Gun System",62 64,
b11,"P.J. Tallerico, A.K. Mitra, LANL, Los Alamos, New Mexico, USA","The Racetrack Microtron Radio-Frequency System",65 67,
b12,"J. Ungrin, J.C. Brown, B.G. Chidley, S.B. Hodge, G.E. McMichael, S.O. Schriber, R.B. Turner, Atomic Energy of Canada, Chalk River, Ontario, Canada","Construction of a High-Power RF Resonant Test Load",68 70,
b13,"K.R. Crandall, J.E. Stovall, LANL, Los Alamos, New Mexico, USA","RFQ Pole-Tip Construction",71 73,
b14,"L.M. Earley, J.M. Potter, A.J. Thomas, LANL, Los Alamos, New Mexico, USA","Tuning Experience with FMIT Scale-Model Drift-Tube Linac",74 76,
b15,"R.B. Turner, J. Ungrin, Atomic Energy of Canada, Chalk River, Ontario, Canada","Brazing Techniques and Alloys for Accelerator RF Components",77 79,
b16,"K. Hayakawa, N. Nakamura, K. Sato, K. Tsukada, Nihon University, Tokyo, Japan","Effects of Radial Support Stems on the Disk-and-Washer Structure",80 80,
b17,"P. Junior, H. Deitinghoff, K.D. Halfmann, H. Klein, A. Schempp, University of Frankfurt, Frankfurt am Main, Germany","A RFQ Concept Using Circular Rods",81 83,
b18,"R.D. Hay, C.G. Masi, New England Nuclear Corporation, Chelmsford, Massachusetts, USA","A Variable Strength Permanent Magnet Dipole",84 86,
c01,"G. Gammel, J. Brodowski, K. Dobbs, J. Keane, A. Maschke, E. Meier, R. Sanders, BNL, Upton, New York, USA","First Results on the BNL H MEQALAC",89 91,
