fr1-1,"P.B. Wilson, SLAC, Stanford, California, USA","Future e+e- Linear Colliders and Beam-Beam Effects",585 590,
fr1-2,"S.O. Schriber, LANL, Los Alamos, New Mexico, USA","Factors Limiting the Operation of Structures under High Gradient",591 596,
fr2-1,"J.D. Lawson, RAL, Didcot, Oxfordshire, UK","Collider Constraints in the Choices for Wavelength and Gradient Scaling",599 603,
MO1-1,"L.W. Alvarez, LBL, Berkeley, California, USA","History of Proton Linear Accelerators",3 9,
mo1-2,"R.J. Briggs, LLNL, Livermore, California, USA","Linear Induction Accelerators",10 13,
mo2-1,"G.J. Caporaso, LLNL, Livermore, California, USA","The Control of Beam Dynamics in High Energy Induction Linacs",17 21,
mo2-2,"R.A. Jameson, LANL, Los Alamos, New Mexico, USA","RF Linacs for Esoteric Applications",22 28,
mo2-3,"D.W. Reid, LANL, Los Alamos, New Mexico, USA","RF Power Sources for 1990 and Beyond",29 32,
mo2-4,"R.W. Hamm, AccSys Technology Inc., Pleasanton, California, USA","Linacs for Medical and Industrial Applications",33 36,
mo3-1,"M.A. Allen, R.L. Cassel, N.R. Dean, G.T. Konrad, R.F. Koontz, H.D. Schwarz, A.E. Vlieks, SLAC, Stanford, California, USA","Operational Experience with SLAC Energy Upgrade",39 42,
mo3-10,"M.T. Lynch, LANL, Los Alamos, New Mexico, USA","Control of Linear Accelerator Noise in the Los Alamos Free-Electron Laser (FEL)",59 61,
mo3-11,"G.P. Boicourt, M.C. Vasquez, LANL, Los Alamos, New Mexico, USA","Proper Input Phase-Space Filling for Accurate Beam-Dynamics Codes",62 64,
mo3-12,"O.A. Anderson, LBL, Berkeley, California, USA","Internal Dynamics and Emittance Growth in Non-Uniform Beams",65 69,
mo3-13,"J.A. Fugitt, T.L. Moore, CEBAF, Newport News, Virginia, USA","RF Drive System for the CEBAF Superconducting Cavities",70 72,
mo3-14,"G. Biallas, P. Brindza, CEBAF, Newport News, Virginia, USA; J. Kirchgessner, H.L. Phillips, Cornell University, Ithaca, New York, USA","The CEBAF Cavity Cryostat",73 75,
mo3-15,"P. Brindza, C. Rode, CEBAF, Newport News, Virginia, USA","The CEBAF Cryogenic System",76 80,
mo3-16,"J.J. Welch, SLAC, Stanford, California, USA","Beam Dynamics, Efficiency and Power of the SLAC Lasertron - Simulation Results",81 84,
mo3-17,"J.J. Welch, SLAC, Stanford, California, USA","The Maximum Efficiency of a Conventional Klystron Output Cavity",85 86,
mo3-18,"J.J. Welch, C.K. Sinclair, SLAC, Stanford, California, USA","Collector Material Desorption Tests",87 89,
mo3-19,"T. Tran Ngoc, J.-P. Labrie, Atomic Energy of Canada, Chalk River, Ontario, Canada","Boiling Heat Transfer Process in the Design of High Power Linac Structures",90 92,
mo3-2,"D.J. Johnson, T.R. Lockner, Sandia National Laboratories, Albuquerque, New Mexico, USA","Focusing Mechanisms in the Pulselac CU Accelerator",43 45,
mo3-22,"M. Fradj, R. Christmann, M. Hartung, P. Strehl, GSI, Darmstadt, Germany","A New Design of Profile Grid Electronics with High Performance",93 95,
mo3-23,"W. Losert, R. Christmann, M. Fradj, M. Hartung, P. Strehl, D. Wilms, GSI, Darmstadt, Germany","Fast On Line Phase Measurement of Pulsed RF Signals in the Range of 9-108MHz",96 97,
mo3-24,"G. Hutter, W. Gutowski, K. Waitz, GSI, Darmstadt, Germany","A Universal Electronic Phaseshifter",98 100,
mo3-25,"W.B. Cottingame, J.H. Cortez, W.W. Higgins, O.R. Sander, D.P. Sandoval, LANL, Los Alamos, New Mexico, USA","Longitudinal Emittance Measurement at the ATS",101 103,
mo3-26,"D.J. Liska, J. Potter, J. Uher, LANL, Los Alamos, New Mexico, USA","Cryogenic Studies of RF Accelerating Structures, Vintage 1978",104 105,
mo3-28,"T. Onodera, K. Hayashi, H. Iyeki, Mitsubishi Electric Corporation, Amagasaki-shi, Hyogo, Japan","High Power Pulsed Klystron for Linacs",106 108,
mo3-29,"K.R. Eppley, W.B. Herrmannsfeldt, T.G. Lee, SLAC, Stanford, California, USA","Improving the Efficiency of Microwave Devices with a Double Output Cavity",109 111,
mo3-30,"W.M. Fawley, G.J. Caporaso, M.R. Teague, S.S. Yu, LLNL, Livermore, California, USA; A.M. Sessler, LBL, Berkeley, California, USA","Novel Accelerators Employing High-Current Electron Beams: Numerical Simulations",112 115,
mo3-31,"S. Fukumoto, Z. Igarashi, K. Ikegami, T. Kamei, T. Kato, C. Kubota, S. Machida, Y. Mori, T. Shintomi, A. Takagi, E. Takasaki, T. Takenaka, KEK, Ibaraki, Japan","Construction and First Operation of Upgraded Linear Accelerator",116 118,
mo3-32,"T. Kato, S. Machida, KEK, Ibaraki, Japan","RF Tuning of the KEK 40 MeV Proton Linac with Post Couplers",119 121,
mo3-33,"G. Faillon, D.T. Tran, Thomson Tubes Electroniques, Boulogne-Billancourt, France","RF-Sources for Proton Linacs",122 124,
mo3-34,"N.G. Wilson, LANL, Los Alamos, New Mexico, USA","Vacuum System Design Considerations of the Los Alamos Accelerator Test Stand (ATS)",125 127,
mo3-36,"L.D. Hansborough, W.L. Clark, R.A. DePaula, F.A. Martinez, P.L. Roybal, L.C. Wilkerson, L.M. Young, LANL, Los Alamos, New Mexico, USA","Fabrication and Tuning Techniques for Side-Coupled Electron Accelerator Structures",128 130,
mo3-37,"A. McNerney, J.M. Brennan, B. Briscoe, J. Brodowski, R. Horton, V. LoDestro, P. Montemurro, S.Y. Zhang, BNL, Upton, New York, USA","Status of the BNL 200 MeV Linac",131 133,
mo3-39,"J.G. Alessi, A. Hershcovitch, A. Kponou, Th. Sluyters, BNL, Upton, New York, USA; T. Niinikoski, CERN, Geneva, Switzerland","Polarized H- Source Development at BNL",134 137,
mo3-4,"D.J. Liska, N. Bultman, L.O. Carlisle, LANL, Los Alamos, New Mexico, USA","Thermal Design of Drift Tubes for High-Gradient Linacs",46 47,
mo3-41,"C.D. Curtis, C.W. Owen, C.W. Schmidt, Fermilab, Batavia, Illinois, USA","Factors Affecting H- Beam Performance in the Fermilab Linac",138 140,
mo3-42,"R.W. Hamm, K.R. Crandall, M.E. Hamm, L.D. Hansborough, J.M. Potter, AccSys Technology Inc., Pleasanton, California, USA","A Compact Proton Linac for Positron Tomography",141 143,
mo3-43,"G.A. Loew, R.H. Miller, C.K. Sinclair, SLAC, Stanford, California, USA","The SLAC Low Emittance Accelerator Test Facility",144 147,
mo3-44,"M. Sawamura, Y. Iwashita, H. Takekoshi, Kyoto University, Kyoto, Japan","Post Coupler Studies for Alvarez Tanks",148 150,
mo3-45,"Y. Iwashita, S. Abe, H. Takekoshi, Kyoto University, Kyoto, Japan","Q Value of DAW Linac with Biperiodic T Stem",151 153,
mo3-46,"J.D. Gilpatrick, D.L. Grant, LANL, Los Alamos, New Mexico, USA","Multiple-Measurement Beam Probe",154 156,
mo3-47,"M.V. Fazio, R.F. Hoeberling, LANL, Los Alamos, New Mexico, USA","A Coherent Very High Power Microwave Source Using a Virtual Cathode Oscillator",157 159,
mo3-48,"Z.D. Farkas, SLAC, Stanford, California, USA","Unified Formulation for Linear Accelerator Design",160 162,
mo3-49,"V.L. Granatstein, P.E. Latham, W. Lawson, J.H. McAdoo, M. Reiser, C.D. Striffler, University of Maryland, College Park, Maryland, USA","New Concepts in Microwave Sources for e+e- Supercolliders",163 165,
mo3-5,"D.J. Liska, L.B. Dauelsberg, G. Spalek, LANL, Los Alamos, New Mexico, USA","Precision Alignment of Permanent Magnet Drift Tubes",48 49,
mo3-50,"W. Lawson, J. Calame, V.L. Granatstein, P.E. Latham, G.S. Park, M. Reiser, C.D. Striffler, F.J. Williams, University of Maryland, College Park, Maryland, USA; J. Neilson, Varian Associates Inc., Palo Alto, California, USA","A High Peak Power, X-Band Gyroklystron for Linear Accelerators",166 168,
mo3-7,"M. Pabst, K. Bongardt, KFA-Jülich, Jülich, Germany","Longitudinal Trapping and Particle Loss of High Intensity Bunched Beams",50 52,
mo3-8,"A.K. Mitra, W. Janßen, M. Sauer, KFA-Jülich, Jülich, Germany","RF Power Amplifier with Dedicated Interlock and Feedback Controller",53 55,
mo3-9,"A. van der Hart, K. Bongardt, C. Kennepohl, K. Kennepohl, F. Schmidt, R. Uhlemann, K. Zwoll, KFA-Jülich, Jülich, Germany","Non-Destructive Beam Monitors for the SNQ-Linac",56 58,
th1-1,"A.M. Sessler, D.B. Hopkins, LBL, Berkeley, California, USA","The Two-Beam Accelerator",385 390,
