fr1-01,"R. Siemann, Cornell University, Ithaca, New York, USA","B-Factories: A Perspective of B-Physics and Possible Accelerator Design Approaches",675 679,
fr1-02,"S. Tazzari, A. Aragona, C. Biscari, R. Boni, M. Castellano, A. Cattoni, V. Chimenti, S. De Simone, S. Faini, U. Gambardella, S. Guiducci, S. Kukinski, L. Maritato, G. Modestino, P. Patteri, M.A. Preger, C. Sanelli, M. Serio, B. Spataro, F. Tazzioli, M. Vescovi, INFN/LNF, Frascati, Italy; C. Pagani, INFN-Milano, Milano, Italy; N. Cavallo, F. Cevenini, INFN-Napoli, Napoli, Italy","Work on Superconducting Linacs in Progress in Frascati",680 683,
fr1-04,"A. Sessler, D. Hopkins, E. Hoyer, K. Halbach, LBL, Berkeley, California, USA; R. Palmer, BNL, Upton, New York, USA; W. Barletta, R. Jong, L. Reginato, S. Yu, LLNL, Livermore, California, USA; J. Bayless, Pulse Sciences Incorporated, Agoura Hills, California, USA","An FEL Power Source for a TeV Linear Collider",684 688,
fr2-01,"G. Horikoshi, Y. Kimura, T. Nishikawa, KEK, Ibaraki, Japan","KEK Plans for a Linear Collider RD",691 695,
fr2-02,"W. Schnell, CERN, Geneva, Switzerland","The Study of a CERN Linear Collider, CLIC",696 699,
fr2-03,"P. Wilson, SLAC, Menlo Park, California, USA","SLAC RD toward a TeV Linear Collider",700 705,
mo1-02,"H. Grunder, CEBAF, Newport News, Virginia, USA","The Continuous Electron Beam Accelerator Facility",3 8,
mo1-04,"D. Warner, CERN, Geneva, Switzerland","New and Proposed Linacs at CERN: The LEP (e+/e-) Injector and the SPS Heavy Ion (Pb) Injector",9 15,
mo2-01,"J. Clark, F. Coffield, F. Deadrick, M. Newton, W. Nexsen, D. Prono, D. Ravenscroft, A. Throop, W. Turner, K. Whitham, LLNL, Livermore, California, USA","Design and Initial Operation of the ETA-II Induction Accelerator",19 23,
mo2-04,"T. Godlove, FM Technologies, Inc., Alexandria, Virginia, USA","Summary of the 1988 HIF Symposium",24 27,
mo3-02,"Z.-H. Luo, H.-F. Wan, S.-H. Wang, Q.-Y. Zhuo, IHEP, Beijing, People's Republic of China","The Beijing 35 MeV Proton Linac",31 33,
mo3-03,"C. Olson, Sandia National Laboratories, Albuquerque, New Mexico, USA","Achromatic Magnetic Lens Systems for High Current Ion Beams",34 37,
mo3-04,"J. Whealton, R. Raridon, K. Rothe, T. Owens, ORNL, Oak Ridge, Tennessee, USA; W. Becraft, Grumman Space Systems, Oak Ridge, Tennessee, USA","Nonlinear Beam Dynamics in a Funnel for Combining Two Intense Ion Beams",38 47,
Mo3-05,"J. Staples, S. Abbott, R. Caylor, R. Gough, D. Howard, R. MacGill, LBL, Berkeley, California, USA","A Compact Proton RFQ Injector for the Bevalac",48 50,
mo3-06,"A. Warwick, D. Gough, D. Keefe, H. Meuth, LBL, Berkeley, California, USA","Acceleration, Current Amplification and Emittance in MBE-4, an Experimental Multiple Beam Induction Linear Accelerator for Heavy Ions",51 53,
mo3-08,"D. Schrage, J. Billen, G. Bolme, B. Campbell, W. Clark, J. Devenport, S. Gibbs, M. Lynch, F. Martinez, P. O'Shea, J. Stovall, T. Wangler, L. Young, LANL, Los Alamos, New Mexico, USA; J. Rathke, R. Micich, J. Rose, Grumman Space Systems, Bethpage, New York, USA; R. Richter, G. Rosato, GAR Electroformers, Danbury, Connecticut, USA","A Flight-Qualified RFQ for the BEAR Project",54 57,
mo3-09,"A. Vetter, R. Friedman, Boeing Aerospace, Seattle, Washington, USA","Measurement of Field Asymmetry in Accelerating Cavities with Waveguide Couplers",58 60,
mo3-10,"D. Raparia, University of Houston  Texas Accelerator Center, Texas, USA","RFQ Acceleration Section and Its Optimization",61 63,
