fr101,"R.D. Ruth, SLAC, Stanford, California, USA","Beam Dynamics in Linear Colliders",787 791,
fr102,"T. Weiland, TH Darmstadt, Darmstadt, Germany","Design Study for a 500 GeV Linear Collider",792 796,
fr103,"R.E. Shafer, LANL, Los Alamos, New Mexico, USA","Diagnostics for High-Brightness Beams",797 801,
fr201,"J.D. Simpson, ANL, Argonne, Illinois, USA","Wakefield Accelerators",805 809,
fr202,"K. Batchelor, BNL, Upton, New York, USA","The BNL Accelerator Test Facility",810 814,
mo101,"J.T. Seeman, SLAC, Stanford, California, USA","The Stanford Linear Collider",3 7,
mo102,"G. Guignard, CERN, Geneva, Switzerland","Status of CERN Linear Collider Studies",8 12,
mo103,"K. Takata, KEK, Ibaraki, Japan","The Japan Linear Collider",13 17,
mo201,"B.K. Hartline, CEBAF, Newport News, Virginia, USA","CEBAF Progress Report",21 25,
mo202,"R.J. Noble, Fermilab, Batavia, Illinois, USA","The Fermilab Linac Upgrade",26 30,
mo203,"J.M. Watson, SSCL, Dallas, Texas, USA","The SSC Linac",31 35,
mo401,"D.A. Swenson, D.D. Gillings, W.J. Hoffert, S.R. Schmidt, Science Applications International Corporation, San Diego, California, USA","RFQ Lens for Low Energy Ion Beam Focusing",39 41,
mo402,"B.G. Chidley, F.P. Adams, G.E. McMichael, T. Tran Ngoc, Atomic Energy of Canada, Chalk River, Ontario, Canada; T.S. Bhatia, LANL, Los Alamos, New Mexico, USA","New Vanes for RFQ1",42 44,
mo403,"T. Tran Ngoc, R.M. Hutcheon, Atomic Energy of Canada, Chalk River, Ontario, Canada","Study of High-Strength Coppers for RFQ1's New Vanes",45 47,
mo404,"T. Tran Ngoc, F.P. Adams, G.M. Arbique, G.E. McMichael, Atomic Energy of Canada, Chalk River, Ontario, Canada","Components for CW RFQ's",48 50,
mo405,"I.S. Lehrman, Grumman Corporate Research Center, Princeton, New Jersey, USA; G. Warrren, Mission Research Corporation, Newington, Virginia, USA","Modeling of the End Regions of RFQ's Using the 3-D SOS Code",51 53,
mo406,"V.V. Paramonov, INR, Moscow, USSR","RF Parameters and Scaling Relations for Four-Chamber RFQ Cavities",54 56,
mo407,"A. Ueno, T. Kato, Y. Yamazaki, KEK, Ibaraki, Japan","The -Mode Stabilizing Loop for Four-Vane Type RFQs",57 59,
mo408,"A. Ueno, C. Kubota, Y. Mori, A. Takagi, Y. Yamazaki, KEK, Ibaraki, Japan","RF Field Measurement of an RFQ Cold Model Cavity for the JHP",60 62,
mo409,"G. Spalek, A. Klapetzky, J. Rose, LANL, Los Alamos, New Mexico, USA","Azimuthal Stabilization of the Radio-Frequency Quadruploe with Loop-Coupled TEM Lines",63 66,
mo410,"G. Spalek, A. Klapetzky, LANL, Los Alamos, New Mexico, USA","A Coaxial Line Azimuthal Field Stabilizer for Radio Frequency Quadrupoles",67 69,
mo411,"M.J. Browman, L.M. Young, LANL, Los Alamos, New Mexico, USA","Coupled Radio-Frequency Quadrupoles as Compensated Structures",70 72,
mo412,"I. Ben-Zvi, A. Jain, H. Wang, SUNY, Stony Brook, New York, USA; A. Lombardi, INFN-LNL, Legnaro, Italy","Electrical Characteristics of a Short RFQ Resonator",73 75,
mo413,"J.R. Delayen, K.W. Shepard, ANL, Argonne, Illinois, USA","First Tests of a Superconducting RFQ Structure",76 78,
mo414,"A. Schempp, H. Deitinghoff, IAP, Frankfurt am Main, Germany; J.R. Delayen, K.W. Shepard, ANL, Argonne, Illinois, USA","Design and Application Possibilities of Superconducting Radio-Frequency Quadrupoles",79 81,
mo415,"J.R. Delayen, C.L. Bohn, C.T. Roche, ANL, Argonne, Illinois, USA","Application of RF Superconductivity to High-Brightness Ion Beam Accelerators",82 84,
mo416,"J.R. Delayen, C.L. Bohn, C.T. Roche, ANL, Argonne, Illinois, USA","Experimental Results in Superconducting Niobium Resonators for High-Brightness Ion Beam Acceleration",85 87,
mo417,"J.S. Fraser, H.R. Schneider, TRIUMF, Vancouver, Canada","Design of a Superconducting Interdigital Accelerator Structure for Radioactive Heavy Ions",88 90,
mo418,"B. Rusnak, E.R. Gray, R.J. Houlton, A. Klapetzky, G.P. Lawrence, E.A. Meyer, D.L. Schrage, A.H. Shapiro, G. Spalek, J.E. Stovall, P. Wright, LANL, Los Alamos, New Mexico, USA","Radio Frequency Superconducting Structures Development Laboratory Capability at Loa Alamos National Laboratory",91 92,
mo419,"B.C. Yunn, J.J. Bisognano, CEBAF, Newport News, Virginia, USA","A Numerical Study of Superconducting Cavity Components",93 95,
mo420,"M.J. Vretenar, D.J. Warner, CERN, Geneva, Switzerland","Field Stabilization in the Quasi-Alvarez Structure",96 98,
mo421,"P. Lapostolle, Private address, Neuilly-sur-Seine, France; E. Tanke, CERN, Geneva, Switzerland; S.R. Valero, CEN-Saclay, Gif-sur-Yvette, France; M.J. Vretenar, D.J. Warner, CERN, Geneva, Switzerland","Computer Design and Dynamics of the Quasi-Alvarez Linac",99 101,
mo422,"T. Kroc, A. Moretti, Fermilab, Batavia, Illinois, USA","Conditioning of High Gradient H- Accelerating Cavities",102 104,
mo423,"M.P. May, J.R. Fritz, T.G. Jurgens, H.W. Miller, J. Olson, D. Snee, Fermilab, Batavia, Illinois, USA","Mechanical Construction of the 805 MHz Side Couple Cavities for the Fermilab Linac Upgrade",105 107,
