fr1a01,"R.A. Baartman [TRIUMF, Vancouver, Canada] ","Fast Envelope Tracking for Space Charge Dominated Injectors",1017 1021,
fr1a02,"P.N. Ostroumov, A. Barcikowski, J.A. Clark, C. Dickerson, M.R. Hendricks, Y. Luo, R.C. Pardo, C.E. Peters, M.A. Power, G. Savard, S.I. Sharamentov, R.C. Vondrasek, G.P. Zinkann [ANL, Argonne, USA] ","Installation and On-Line Commissioning of EBIS at ATLAS",1022 1026,
fr1a03,"L.T. Sun, X. Fang, Y.C. Feng, J.W. Guo, W. Lu, L.Z. Ma, C. Qian, Z. Shen, W. Wu, Y. Yang, W.H. Zhang, X.Z. Zhang, H.W. Zhao, L. Zhu [IMP/CAS, Lanzhou, People's Republic of China] ","Intense Beam Production of Highly Charged Ions by the Superconducting ECR Ion Source SECRAL for Heavy Ion Linacs",1027 1031,
fr1a04,"S.J. Full, A.C. Bartnik, I.V. Bazarov, J. Dobbins, B.M. Dunham, G.H. Hoffstaetter, K. J. Smith [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Ion Effects in High Brightness Electron Linac Beams",1032 1036,
fr1a05,"M. Otani, N. Kawamura, T. Mibe, F. Naito, M. Yoshida [KEK, Tsukuba, Japan] K. Hasegawa, Y. Kondo [JAEA, Ibaraki-ken, Japan] N. Hayashizaki [RLNR, Tokyo, Japan] T. Ito [JAEA/J-PARC, Tokai-mura, Japan] Y. Iwashita [Kyoto ICR, Uji, Kyoto, Japan] Y. Iwata [NIRS, Chiba-shi, Japan] R. Kitamura [University of Tokyo, Tokyo, Japan] N. Saito [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] ","Development of a Muon Linac for the G-2/EDM Experiment at J-PARC",1037 1041,
fr2a01,"H.-S. Kang, D.E. Kim, K.W. Kim, I.S. Ko, T.-Y. Koo, H.-S. Lee, K.-H. Park [PAL, Pohang, Kyungbuk, Republic of Korea] ","Status of the PAL-XFEL",1042 1046,
mo1a01,"J. Wei, H. Ao, S. Beher, N.K. Bultman, F. Casagrande, C. Compton, L.R. Dalesio, K.D. Davidson, A. Facco, F. Feyzi, V. Ganni, A. Ganshyn, P.E. Gibson, T. Glasmacher, W. Hartung, L. Hodges, L.T. Hoff, H.-C. Hseuh, A. Hussain, M. Ikegami, S. Jones, K. Kranz, R.E. Laxdal, S.M. Lidia, G. Machicoane, F. Marti, S.J. Miller, D.G. Morris, A.C. Morton, J.A. Nolen, P.N. Ostroumov, J.T. Popielarski, L. Popielarski, G. Pozdeyev, T. Russo, K. Saito, G. Shen, S. Stanley, H. Tatsumoto, T. Xu, Y. Yamazaki [FRIB, East Lansing, USA] K. Dixon, M. Wiseman [JLab, Newport News, Virginia, USA] A. Facco [INFN/LNL, Legnaro (PD), Italy] K. Hosoyama [KEK, Ibaraki, Japan] H.-C. Hseuh [BNL, Upton, Long Island, New York, USA] M.P. Kelly, J.A. Nolen [ANL, Argonne, Illinois, USA] R.E. Laxdal [TRIUMF, Vancouver, Canada] ","The FRIB Superconducting Linac - Status and Plans",99 98,
mo1a02,"H. Weise [DESY, Hamburg, Germany] ","Status of the European XFEL",7 11,
mo2a03,"T. Planche, M. Alcorta, F. Ames, R.A. Baartman, C.B. Barquest, B. Humphries, D. Kaltchev, S.R. Koscielniak, R.E. Laxdal, Y. Ma, M. Marchetto, S. Saminathan, E. Thoeng [TRIUMF, Vancouver, Canada] P. Jung [UW/Physics, Waterloo, Ontario, Canada] ","Commissioning and Early Operation of the ARIEL e-Linac",12 16,
mo2a04,"C.-X. Tang, H.B. Chen, Z.J. Chi, Y.-C. Du, W.-H. Huang, J. Shi, Q.L. Tian, D. Wang, W. Wang, L.X. Yan, Z. Zhang, Z. Zhang, L.M. Zheng, Z. Zhou [TUB, Beijing, People's Republic of China] ","Low Emittance and High Current Electron Linac Development at Tsinghua University",17 21,
mo3a01,"F. Loehl (F. Löhl) [PSI, Villigen PSI, Switzerland] ","Status of SwissFEL",22 26,
mo3a02,"T. Okugi [KEK, Ibaraki, Japan] ","Achievement of Small Beam Size at ATF2 Beamline",27 31,
mo3a03,"J.W. Lewellen, C.E. Buechler, G.E. Dale, N.A. Moody, D.C. Nguyen [LANL, Los Alamos, New Mexico, USA] ","Spaceborne Electron Accelerators",32 37,
moop01,"N. Pichoff, B. Gastineau, P. Girardot [CEA/DSM/IRFU, France] N. Bazin, D. Chirpaz-Cerbat, B. Dalena, G. Ferrand, P. Gastinel, F. Gougnaud, M. Jacquemet, C. Madec, P.A.P. Nghiem, D. Uriot [CEA/IRFU, Gif-sur-Yvette, France] P. Bertrand, M. Di Giacomo, R. Ferdinand, J.-M. Lagniel [GANIL, Caen, France] ","The SARAF-LINAC Project Status",38 40,
moop02,"H.J. Kim, I.S. Hong, H.C. Jung, W.K. Kim, Y.H. Kim, Y. Kim, B.-S. Park, I. Shin [IBS, Daejeon, Republic of Korea] ","Current Status of Superconducting Linac for the Rare Isotope Science Project",41 43,
moop03,"S.V. Kutsaev, R.B. Agustsson, L. Faillace, E.A. Savin [RadiaBeam, Santa Monica, California, USA] A. Goel, B. Mustapha, A. Nassiri, P.N. Ostroumov, A.S. Plastun [ANL, Argonne, Illinois, USA] E.A. Savin [MEPhI, Moscow, Russia] ","High Gradient Accelerating Structures for Carbon Therapy Linac",44 47,
moop04,"V.A. Dolgashev [SLAC, Menlo Park, California, USA] ","Traveling Wave Linear Accelerator With RF Power Flow Outside of Accelerating Cavities",48 51,
moop05,"A. Brinkmann, J. Ziegler [DESY, Hamburg, Germany] ","Dry-Ice Cleaning of RF-Structures at DESY",52 55,
moop07,"S. Imajo [Kyoto University, Kyoto, Japan] T. Ino, K. Mishima [KEK, Ibaraki, Japan] Y. Iwashita [Kyoto ICR, Uji, Kyoto, Japan] M. Kitaguchi, H.M. Shimizu [Nagoya University, Nagoya, Japan] S. Yamashita [ICEPP, Tokyo, Japan] ","Development of Ultracold Neutron Accelerator for Time Focusing of Pulsed Neutrons",56 58,
moop08,"Y. Renier, G. Asova, P. Boonpornprasert, J.D. Good, M. Gross (M. Groß), H. Huck, I.I. Isaev, D.K. Kalantaryan, M. Krasilnikov, O. Lishilin, G. Loisch, D. Melkumyan, A. Oppelt, T. Rublack, F. Stephan [DESY Zeuthen, Zeuthen, Germany] G. Asova [INRNE, Sofia, Bulgaria] M. Bousonville, S. Choroba, S. Lederer [DESY, Hamburg, Germany] C. Saisa-ard [Chiang Mai University, Chiang Mai, Thailand] Q.T. Zhao [IMP/CAS, Lanzhou, People's Republic of China] ","Latest News on High Average RF Power Operation at PITZ",59 61,
moop09,"S.P. Jamison, Y.M. Saveliev [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] R.B. Appleby, H.L. Owen, T.H. Pacey, T.H. Pacey, G.X. Xia [UMAN, Manchester, United Kingdom] G. Burt, R. Letizia, C. Paoloni [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] A.W. Cross [USTRAT/SUPA, Glasgow, United Kingdom] D.M. Graham [The University of Manchester, The Photon Science Institute, Manchester, United Kingdom] C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] ","Dielectric and THz Acceleration (Data) Programme at the Cockcroft Institute",62 64,
moop11,"C. Hovater, T.L. Allison, R. Bachimanchi, G.H. Biallas, E. Daly, M.A. Drury, A. Freyberger, R.L. Geng, G.E. Lahti, R.A. Legg, C.I. Mounts, R.M. Nelson, T. E. Plawski, T. Powers [JLab, Newport News, Virginia, USA] ","Operation of the CEBAF 100 MV Cryomodules",65 67,
moop12,"K.E. Nichols, B.E. Carlsten, A. Malyzhenkov [LANL, Los Alamos, New Mexico, USA] ","Klynac Design Simulations and Experimental Setup",68 70,
mop106001,"R.G. Eichhorn, J. Hoke, Z. Mayle [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Energy Stability of ERLs and Recirculating Linacs",304 306,
mop106002,"E.I. Simakov [LANL, Los Alamos, New Mexico, USA] ","X-Band Photonic Band Gap Accelerating Structures with Improved Wakefield Suppression",307 309,
mop106006,"O. Kononenko, C. Adolphsen, Z. Li, T.O. Raubenheimer, C.H. Rivetta [SLAC, Menlo Park, California, USA] ","Electro-Mechanical Modeling of the LCLS-II Superconducting Cavities",310 312,
mop106012,"F. Hug, K. Aulenbacher, R.G. Heine, B. Ledroit, D. Simon [IKP, Mainz, Germany] ","MESA - an ERL Project for Particle Physics Experiments",313 315,
mop106015,"D. Olsson, J. Andersson, F. Curbis, L. Isaksson, L. Malmgren, E. Mansten, S. Thorin [MAX IV Laboratory, Lund University, Lund, Sweden] ","Commissioning Status of the Chopper System for the MAX IV Injector",316 319,
mop106016,"J.T. Bradley III, D. Rees, A. Scheinker, R.L. Sheffield [LANL, Los Alamos, New Mexico, USA] ","High Power RF Requirements for Driving Discontinuous Bunch Trains in the MaRIE Linac",320 322,
mop106018,"A. Halavanau, P. Piot [Northern Illinois University, DeKalb, Illinois, USA] N. Eddy, D.R. Edstrom, A. Lunin, P. Piot, J. Ruan, N. Solyak [Fermilab, Batavia, Illinois, USA] ","Measurement of the Transverse Beam Dynamics in a TESLA-type Superconducting Cavity",323 326,
mop106021,"R.A. Kostin [LETI, Saint-Petersburg, Russia] P.V. Avrakhov, A. Kanareykin [Euclid TechLabs, LLC, Solon, Ohio, USA] N. Solyak, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","Superconducting Traveling Wave Cavity Tuning Studies",327 329,
mop106022,"S. Kashiwagi, T. Abe, H. Hama, F. Hinode, T. Muto, I. Nagasawa, K. Nanbu, H. Saito, Y. Saito, Y. Shibasaki, K. Takahashi [Tohoku University, Research Center for Electron Photon Science, Sendai, Japan] ","Generation of Coherent Undulator Radiation at ELPH, Tohoku University",330 332,
mop106023,"T. Hellert, W. Decking, M. Dohlus [DESY, Hamburg, Germany] ","Intra Bunch Train Transverse Dynamics in the Superconducting Accelerators FLASH and European XFEL",333 335,
moplr004,"C. Serpico, I. Cudin [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] A. Grudiev [CERN, Geneva, Switzerland] ","Development of an High Gradient, S-band, Accelerating Structure for the FERMI Linac",136 138,
moplr005,"C. Serpico, A. Fabris, G. Penco, M. Svandrlik [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] B. Keune [RI Research Instruments GmbH, Bergisch Gladbach, Germany] ","Design, Manufacturing and Installation of Two Dual-Feed Accelerating Structures for the FERMI Injector",139 141,
moplr006,"A. Lunin, T.N. Khabiboulline, N. Solyak [Fermilab, Batavia, Illinois, USA] ","Monopole HOMs Dumping in the LCLS-II 1.3 GHz Structure",142 144,
moplr007,"A. Lunin, I.V. Gonin, T.N. Khabiboulline, N. Solyak [Fermilab, Batavia, Illinois, USA] ","Redesign of the End Group in the 3.9 GHz LCLS-II Cavity",145 148,
moplr008,"A. Saini, V.V. Kapin, N. Solyak [Fermilab, Batavia, Illinois, USA] ","Status Of the ILC Main Linac Design",149 151,
moplr009,"K. Jin [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","X-Band Travelling Wave Accelerating Section R&D for HTF",152 154,
moplr010,"G.V. Eremeev, M.A. Drury, J.M. Grames, R. Kazimi, M. Poelker, J.P. Preble, R. Suleiman, Y.W. Wang, M. Wright [JLab, Newport News, Virginia, USA] ","4 K SRF Operation of the 10 MeV CEBAF Photo-Injector",155 157,
moplr011,"A.L. Healy, G. Burt [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] M.J. Cliffe, D.M. Graham [The University of Manchester, The Photon Science Institute, Manchester, United Kingdom] S.P. Jamison [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] R. Valizadeh [Cockcroft Institute, Warrington, Cheshire, United Kingdom] ","Design of a Dielectric-lined Waveguide for Terahertz-driven Linear Electron Acceleration",158 160,
moplr012,"M. Znidarcic (M. Žnidarčič), M. Cargnelutti [I-Tech, Solkan, Slovenia] ","Compact Beam Position Monitor for Electron and Proton Machines",161 164,
moplr013,"M. Krasilnikov, P. Boonpornprasert, J.D. Good, M. Gross (M. Groß), H. Huck, I.I. Isaev, D.K. Kalantaryan, O. Lishilin, G. Loisch, D. Melkumyan, A. Oppelt, G. Pathak, Y. Renier, T. Rublack, F. Stephan, G. Vashchenko, Q.T. Zhao [DESY Zeuthen, Zeuthen, Germany] G. Asova [INRNE, Sofia, Bulgaria] C. Hernandez-Garcia [JLab, Newport News, Virginia, USA] ","Investigations on Electron Beam Imperfections at PITZ",165 167,
moplr014,"M. Arnold, T. Kuerzeder (T. Kürzeder), J. Pforr, N. Pietralla, M. Steinhorst [TU Darmstadt, Darmstadt, Germany] F. Hug [IKP, Mainz, Germany] ","Construction of a Third Recirculation for the S-DALINAC*",168 170,
moplr015,"I.V. Gonin, E.R. Harms, T.N. Khabiboulline, N. Solyak, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","Thermal-Mechanical Study of 3.9 GHz CW Coupler and Cavity for LCLS-II Project",171 173,
