FOAA001,"M.A.C. Cummings, Northern Illinois University, DeKalb, Illinois","New Technology in Hydrogen Absorbers for Muon Cooling Channels",
FOAA002,"B.A. Prichard, SAIC, Los Alamos, New Mexico; J. Barraza, LANL, Los Alamos, New Mexico; F.M. Bieniosek, LBNL, Berkeley, California; R.J. Briggs, SAIC, Alamo, California; K. Chow, W.M. Fawley, LBNL, Berkeley, California; T.E. Genoni, ATK-MR, Albuquerque, New Mexico; E. Henestroza, LBNL, Berkeley, California; T.P. Hughes, ATK-MR, Albuquerque, New Mexico; M. Kang, K. Nielsen, LANL, Los Alamos, New Mexico; L. R. Reginato, W. Waldron, LBNL, Berkeley, California","Technological Improvements in the DARHT II Accelerator Cells",
FOAA003,"A. Novokhatski, SLAC, Menlo Park, California","HOM Effects in Vacuum System with Short Bunches",
FOAA005,"A. Bosotti, INFN/LASA, Segrate (MI); R. De Monte, M. Ferianis, ELETTRA, Basovizza, Trieste; R. Lange, DESY, Hamburg; C. Pagani, R. Paparella, P. Pierini, D. Sertore, INFN/LASA, Segrate (MI)","Mechanical Vibration Measurements on TTF Cryomodules",
FOAA006,"S. Simrock, DESY, Hamburg","Digital Low-Level RF Controls for Future Superconducting Linear Colliders",
FOAA007,"C.H. Rode, J.P. Preble, Jefferson Lab, Newport News, Virginia","Cryomodule Design Concepts and Operating Experience",
FOAA008,"A. Roy, NSC, New Delhi","Superconducting RF Development at Nuclear Science Centre",
FOAA009,"R.A. Rimmer, J. F. Benesch, J.P. Preble, C.E. Reece, Jefferson Lab, Newport News, Virginia","SRF Performance of CEBAF After Thermal Cycle to Ambient Temperature",
FOAA010,"M. Fouaidy, S. Blivet, F. Chatelet, N. Hammoudi, G.M. Martinet, A. Olivier, H. Saugnac, IPN, Orsay","Full Characterization at Low Temperature of Piezoelectric Actuators Used for SRF Cavities Active Tuning",
FOAB001,"J.P. Reijonen, LBNL, Berkeley, California","Compact Neutron Generators for Medical, Home Land Security, and Planetary Exploration",
FOAB002,"A.V. Mishin, ASE, Billerica, Massachusetts","Advances in X-Band and S-Band Linear Accelerators for Security, NDT, and Other Applications",
FOAB003,"H.-U. Klein, ACCEL, Bergisch Gladbach","Recent Developments in Hadron Therapy Accelerators",
FOAB004,"M. Tanigaki, KURRI, Osaka; S. Fukumoto, Mitsubishi Electric Corp, Energy  Public Infrastructure Systems Center, Kobe; M. Inoue, SLLS, Shiga; Y. Ishi, Mitsubishi Electric Corp, Energy  Public Infrastructure Systems Center, Kobe; S. Machida, KEK, Ibaraki; K. Mishima, KURRI, Osaka; Y. Mori, KEK, Ibaraki; S. Shiroya, KURRI, Osaka","Construction of FFAG Accelerators in KURRI for ADS Study",
FOAB005,"S.P. Karasyov, NSC/KIPT, Kharkov; A.J. Baratta, Penn State University, University Park, Pennsylvania; A.N. Dovbnja, L. Eran, NSC/KIPT, Kharkov; N.M. Kiryukhin, ATSU, Kiev; Y.P. Melnik, Y. Ran'iuk, I.N. Shlyakhov, NSC/KIPT, Kharkov; S.V. Trubnikov, KhNU, Kharkov","Technology for Fissionable Materials Detection by Use of 100 MeV Variable Linac",
FOAB006,"M.D. Shinn, Jefferson Lab, Newport News, Virginia","Industrial Applications of High Average Power FELS",
FOAB007,"R.D. Ruth, Lyncean Technologies, Inc., Palo Alto, California","The Compact Light Source: A Miniature Synchrotron Light Source",
FOAB008,"C.L. Morris, LANL, Los Alamos, New Mexico","Muon Radiography",
FOAB009,"H. Zimmermann, U. Bartz, D. Ficek, P. Fischer, N. Mueller, A. Schempp, J. Thibus, M. Vossberg, IAP, Frankfurt-am-Main","The Frankfurt Funneling Experiment",
