,"B. McDaniel","The Commissioning and Performance Characteristics of CESR",1984 1989,
,"J.R. Rees","The PEP Storage Ring-Current Status",1989 1994,
,"S. van der Meer","Stochastic Cooling in the CERN Antiproton Accumulator",1994 1999,
,"R.H. Stokes, K.R. Crandall, T.P. Wangler","The Radio-Frequency Quadrupole-A New Linear Accelerator",1999 2004,
,"W.M. Brobeck","Early Days at the Radiation Laboratory",2004 2007,
,"D.E. Young","The Fermilab Proton-Antiproton Collider",2008 2013,
,"K. Blasche, D. Boehne, B. Franczak, B. Franzke, C. Riedel","SIS-A Two Stage Synchrotron Facility for Heavy Ions",2013 2016,
,"H. Wiedemann","The Slac-Linac-Collider (SLC)  Project",2016 2020,
,"B.H. Wiik","HERA, A New Stage in Colliding Beam Facilities",2020 2025,
,"J. Rossbach,  PETRA Storage Ring Group","New Developments at PETRA",2025 2028,
,"A. Skuja,  CHEER Group","The Status of CHEER",2028 2031,
,"K.M. Terwilliger, J.A. Bywater, E.D. Courant, D.G. Crabb, A. Feltman, M. Fujisaki, A.D. Krisch, R. Lambiase, R.J. Lari, Y.Y. Lee, L.G. Ratner, R.D. Ruth, L.W. Smith","Acceleration of Polarized Protons in the Brookhaven AGS",2031 2034,
,"D. Neuffer","Design of Muon Storage Rings for Neutrino Oscillations Experiments",2034 2037,
,"J.E. Griffin, J.F. Bridges, J.A. MacLachlan","Preparation and Study of Bunches Containing 10<sup>11</sup>Protons in the Fermilab Main Ring",2037 2040,
,"J.E. Griffin, J.F. Bridges, J.A. MacLachlan","Review of the Fermilab Main Ring Accelerator Study Program as Directed to the PPbar Program",2040 2043,
,"A.M. Baldin, Yu. D. Beznogikh, E.D. Donets, I.B. Issinsky, L.G. Makarov, V.A. Monchinsky, V.A. Popov, I.N. Semenyushkin, V.F. Sikolenko, V.I. Volkov, L.P. Zinoviev","Present-Day Status of the Synchrophasotron as a Nuclear Accelerator",2043 2046,
,"F.R. Huson","A 120-GeV Superbooster for Fermilab",2046 2049,
,"M. Boutheon, R. Cappi, H. Haseroth, C.E. Hill, J.-P. Koutchouk","Acceleration and Stacking of alpha Particles in the CERN Linac, PS and ISR",2049 2052,
,"T. Kamei, Y. Kimura","KEK Accelerator Facilities and Tristan Project",2052 2055,
,"B. Autin, R. Billinge, R. Brown, G. Carron, C. Johnson, E. Jones, H. Koziol, C. Leemann, T.R. Sherwood, E.J.N. Wilson, S. van der Meer","Beam Optics Studies on the Antiproton Accumulator",2055 2058,
,"D.E. Nagle","Prospects for Pion and Kaon Factories",2060 2062,
,"J.H. Ormrod","Overview of Superconducting Cyclotron Projects",2062 2067,
,"S. Penner","CW Electron Accelerators for Nuclear Physics",2067 2074,
,"M.A. Green, E.M. Rowe, W.S. Trzeciak, W.R. Winter","Design and Operation of the 100 MeV  Alladin Microtron Injector",2074 2077,
,"T.K. Khoe, Y. Cho, R.J. Holt, H.E. Jackson, G.S. Mavrogenes","The Design of the Argonne Double-Sided Microtron",2077 2080,
,"R.C. York, J.S. McCarthy, B.E. Norum, J.C. Sheppard","A Proposal for a High Current, High Duty Factor Electron Accelerator",2080 2083,
,"R.S. Lord, J.B. Ball, R. M. Beckers, T.P. Cleary, E.D. Hudson, C.A. Ludemann, J.A. Martin, W.T. Milner, S.W. Mosko, N.F. Ziegler","Coupled Operation of the Oak Ridge Isochronous Cyclotron and the 25 MV Tandem",2083 2086,
,"Y. Hirao","Operation of TARN",2086 2089,
,"C.E. Thorn, A. J. Baltz, C. Chasman","New Magnet Pole Shape for Isochronous Cyclotrons",2089 2092,
,"J.A. Martin, J.B. Ball, J.K. Ballou, R.L. Brown, T.P. Cleary, W.H. Gray, E.D. Hudson, P.S. Litherland, R.S. Lord, C.A. Ludemann, G.S. McNeilly, S.W. Mosko, F.W. Nehrig, S.W. Schwenterly, T.A. Welton","Superconducting Conversion of the Oak Ridge Isochronous Cyclotron",2092 2095,
,"E. Acerbi, F. Aghion, G. Baccaglioni, G. Bellomo, C. Birattari, M. Castiglioni, C. De Martinis, E. Fabrici, C. Pagani, F. Resimini, A. Salomone, G. Varisco","The Milan Superconducting Cyclotron Project",2095 2098,
,"A. J. Baltz, C. Chasman, C.E. Thorn","Spiral Design and Beam Dynamics for a Variable Energy Cyclotron",2098 2101,
,"M.J. LeVine, C. Chasman","Heavy Ion Injection from Tandems into an Isochronous Cyclotron",2101 2104,
,"C.W. Potts, F.R. Brumwell, Y. Cho, A.V. Rauchas, G.J. Volk","Status Report on the Rapid Cycling Synchrotron",2104 2107,
,"H. Daniel, G. Graw, G. Hinderer, F. Hinterberger, E. Huenges, H. Koerner, P. Kienle, H. Morinaga, E. Nolte, H.J. Scheerer, U. Schneider, W. Schott, S. Skorka, U. Trinks, W. Wiedemann, W. Wilhelm, E. Zech, R. Zierl","Design Status of the Munich Cyclotron SuSe",2107 2110,
,"H.B. Knowles, R.F. Hartley","Air Core Betatrons Reexamined",2110 2113,
,"P. Axel, L.S. Cardman, R.A. Daniel, A.O. Hanson, R.A. Hoffswell, D. Jamnik, R.M. Laszewski, D.C. Sutton, A.M. Vetter","Plans for a Two Stage 450 MeV Cascade Microtron",2113 2116,
,"B. Franzke","Vacuum Requirements for Heavy Ion Synchrotrons",2116 2119,
,"Y. Cho, R.J. Holt, H.E. Jackson, T.K. Khoe, G.S. Mavrogenes","A Conceptual Design of a Linac-Stretcher Ring to Obtain a 2-GeV Continuous Electron Beam",2119 2122,
,"A. Chabert, G. Gendreau, P. Lapostolle, P. Yvon","Bunch Length Compression Inside a Separated Sector Isochronous Cyclotron and Related Problems",2122 2125,
,"G.H. Rees","Features of the Beam Dynamics for the SNS Synchrotron",2125 2128,
,"J.I.M. Botman, H.L. Hagedoorn","Median Plane Effects in the Eindhoven AVF Cyclotron",2128 2131,
,"A. Hofmann","Electron and Proton Beam Diagnostics with Synchrotron Radiation",2132 2137,
,"J.S. Fraser","Developments in Non-Destructive Beam Diagnostics",2137 2142,
,"R. Melen","A New Generation Control System at SLAC",2142 2147,
,"T. Linnecar, W. Scandale","A Transverse Schottky Noise Detector for Bunched Proton Beams",2147 2150,
,"R. Frankel, W. Buxton, K. Kohler, R. Warkentien, A. White",""Relway": A Process Data Highway System Optimized for Accelerators",2150 2153,
,"J.R. Zagel, D. Bogert, L.J. Chapman, R.J. Ducar, J.C. Gannon, M. Harrison, G. Johnson, M. Martin, S. Segler","Tevatron Satellite Refrigeration Control Subystem",2153 2155,
,"M.J. Lee, C. Blocker, A.W. Chao, R.H. Helm, R.J. Hollebeek, T. Knight, J. Nowak, J.L. Siegrist, J.E. Spencer, R.F. Stiening, T. Sun, H. Wind, C.Y. Yao","Mathematical Models for the Control Program of SLAC Linear Collider",2155 2158,
,"D.W. Reid, R.S. Biddle, M.V. Fazio, H.A. Jackson, R.D. Patton, D. Riggin","A 360 Degree Digital Phase Detector with 100 KHZ Bandwidth",2158 2160,
,"W. Ebeling","Fast Beam Profile Measurement",2160 2162,
,"A.P. Sabersky","Optical Beam Diagnostics on PEP",2162 2165,
,"H. Pines, F. Selph","Automatic Tuning of the LBL Bevalac Transfer Line",2165 2168,
,"R.J. Pasquinelli","Snapshot Digitizer System for Fermilab Main Accelerator",2168 2171,
,"W. Praeg, D. McGhee, G. Volk","Phase Lock of Rapid Cycling Synchrotron and Neutron Choppers",2171 2174,
