FRA1,"Raimondi, Pantaleo; Breidenbach, Martin; Clendenin, James E.; Decker, Franz-Josef; Minty, Michiko G.; Phinney, Nan; Skarpass, Knut VIII; Usher, Tracy; Woodley, Mark D.","Luminosity Upgrades for the SLC",
FRA100,"Schoessow, Paul; Rosenzweig, James B.","Slab Symmetric Dielectric Micron Scale Structures for High Gradient Electron Acceleration",
FRA101,"Fang, J.M.; Marshall, Thomas C.; Hirshfield, Jay L.; LaPointe, Mike A.; Zhang, T-B.; Wang, X.J.","An Experimental Test of the Theory of the Stimulated Dielectric Wake-Field Accelerator",
FRA104,"Wang, Changbiao; Hirshfield, Jay L.","Laser-Driven Cyclotron Autoresonance Accelerator",
FRA105,"Mikhailichenko, Alexander A.","Laser Linear Collider with a Travelling Laser Focus Supply",
FRA106,"Mikhailichenko, Alexander A.","Space Charge Effects in Diluted Beam",
FRA108,"Liu, Y. ; Cline, D. B.; He, P.","Vacuum Laser Acceleration Tests",
FRA11,"Marhauser, Frank; Huelsmann, Peter; Klein, Horst","Trapped Modes in TESLA Cavities",
FRA111,"Vysotskii, Vladimir I.","On the Possibility of Creation of Ultra-High-Current Periodical Micro-Accelerator of Subrelativistic Oscillating Electron Beam Produced and Controlled Inside Oriented Crystal by Powerful Short Polarized Laser Pulse",
FRA112,"Iwashita, Yoshihisa","Multi-Harmonic Impulse Cavity",
FRA114,"Decker, Franz-Josef; Chen, Pisin; Iverson, Richard H.; Siemann, Robert H.","Short High Charge Bunches in the SLAC Linac for Plasma Experiments",
FRA115,"Muggli, Patrick; Hoffman, J.R.; Marsh, Kenneth A.; Wang, Sho Qin; Joshi, Chan; Clayton, Christopher E.; Katsouleas, Thomas C.","Lithium Plasma Sources for Acceleration and Focusing of Ultra-Relativistic Electron Beams",
FRA116,"Muggli, Patrick; Yoshii, Jean; Katsouleas, Thomas C.; Clayton, Christopher E.; Joshi, Chan","Cerenkov Radiation from a Magnetized Plasma: A Diagnostic for PBWA Experiments",
FRA117,"Amatuni, Andrey Ts.; Arutunian, Suren G.; Elbakian, Sergey S.; Mailian, M.R.; Petrossian, Marzik L.","Possible Energy Increase of High Current Electron Accelerators",
FRA118,"Amatuni, Andrey Ts.","Amplification of External EM-Wave by Nonlinear Wake Waves in Cold Plasma",
FRA119,"Khachatryan, Arsen G.; Elbakian, Sergey S.","Two-Dimensional Nonlinear Regime in the Plasma Wakefield Accelerator",
FRA120,"Chen, Szu-Yuan; Krishnan, Mohan; Maksimchuk, Anatoly; Umstadter, Donald","Characteristics of Electron Acceleration in a Self-Modulated Laser Wakefield",
FRA123,"Duda, Brian J.; Mori, Warren B.","A Variational Principle Approach to the Evolution of Short-Pulse Laser Plasma Drivers",
FRA124,"Hemker, Roy G.; Tsung, F. S.; Decyk, V. K.; Mori, Warren B.; Lee, S.; Katsouleas, Thomas C.","Development of a Parallel Code for Modeling Plasma Based Accelerators",
FRA126,"Shvets, Gennady; Fisch, Nathaniel J.; Pukhov, Alexander; Meyer-ter-Vehn, Jurgen","Generation of Phase-Controlled Accelerating Structures in Plasma",
FRA128,"Xie, Ming","Laser Acceleration with Open Waveguides",
FRA129,"Williams, Ronald L.; Gebre-Amlak, K.","Studies on the Interactions of a Probe Electron Beam with Relativistic Plasma Waves",
FRA13,"Plawski, Eugeniusz","The Wakefields and Loss Factors in Superconducting Accelerating Cavities for TESLA Collider",
FRA130,"Gordon, Daniel; Mori, Warren B.; Joshi, Chan","Electromagnetically Induced Transparency in a Bounded Plasma and its Relation to Beatwave Physics",
FRA131,"Sprangle, Phillip A.; Hafizi, Bahman; Ting, Antonio C.; Moore, Christopher I.; Hubbard, Richard F.; Zigler, Arie","Laser Driven Electron Acceleration to GeV Energies in Plasma Channels",
FRA132,"Hosokai, Tomonao; Kando, Masaki; Dewa, Hideki; Kotaki, Hideyuki; Kondo, Shuji; Hasegawa, N.; Horioka, Kazuhiko; Nakajima, Mitsuo; Nakajima, Kazuhisa","Application of Fast Imploding Capillary Discharge for Laser Wakefield Acceleration",
FRA133,"Hubbard, Richard F.; Sprangle, Phillip A.; Ting, Antonio C.; Moore, Christopher I.; Kaganovich, Dmitri; Zigler, Arie; Hafizi, Bahman","Simulation of Density Channel Guiding in Capillary Discharge Experiments and Laser Wakefield Accelerators",
FRA134,"Volfbeyn, Paul; Esarey, Eric; Leemans, Wim P.","Laser Wakefield Diagnostic using Holographic Longitudinal Interferometry",
FRA135,"Esarey, Eric; Leemans, Wim P.","Scaling Laws for Laser Wakefield Accelerators",
