frcamh01,"A.V. Maximov, Y.M. Antipov, G.I. Britvich, S.V. Ivanov, V.A. Kalinin, G.V. Khitev, O.P. Lebedev, E.A. Ludmirsky, A.P. Soldatov [IHEP, Moscow Region, Russia] ","The Carbon Ion Beam Extraction Scheme From the U-70 Synchrotron for Radiobiological Researches",139 141,
frcamh02,"S.A. Gavrilov, S. Bragin, A. Feschenko, V. Gaidash, O.V. Grekhov, Y.Z. Kalinin, Yu.V. Kiselev [RAS/INR, Moscow, Russia] ","Proton Irradiation Facility at INR RAS Linac",142 144,
frcamh03,"A.N. Chernykh, E.M. Ivanov [PNPI, Gatchina, Leningrad District, Russia] V.S. Khoroshkov [ITEP, Moscow, Russia] G.I. Klenov [MRTI RAS, Moscow, Russia] ","Radiation Oncology Ophthalmic Center Based on the C-80 Accelerator at the NRC "Kurchatov Institute" - PNPI",145 148,
frxmh02,"S. Rastigeev, A.R. Frolov, A.D. Goncharov, V. Klyuev, E.S. Konstantinov, V.V. Parkhomchuk, A.V. Petrozhitskii [BINP SB RAS, Novosibirsk, Russia] ","Present status of AMS at BINP",132 134,
frxmh03,"A.A. Pryanichnikov, V. Alexandrov, V.E. Balakin, A.I. Bazhan, P.A. Lunev, A.E. Shemyakov, A.I. Shestopalov, Yu.D. Valyaev [PhTC LPI RAS, Protein, Moscow region, Russia] ","Status of the Proton Therapy Complex Prometheus",135 138,
moxmh01,"M. Zobov, D. Alesini, S. Bini, O.R. Blanco-GarcÃ­a (O.R. Blanco-García), M. Boscolo, B. Buonomo, S. Cantarella, S. Caschera, A. D'Uffizi, A. De Santis, G.O. Delle Monache, D.G.C. Di Giulio, G. Di Pirro, A. Drago, L.G. Foggetta, A. Gallo, R. Gargana, A. Ghigo, S. Guiducci, S. Incremona, F. Iungo, C. Ligi, M. Maestri, A. Michelotti, C. Milardi, L. Pellegrino, R. Ricci, U. Rotundo, L. Sabbatini, C. Sanelli, G. Sensolini, A. Stecchi, A. Stella, A. Vannozzi [INFN/LNF, Frascati (Roma), Italy] G. Castorina [INFN-Roma1, Rome, Italy] J. Chavanne, G. Le Bec, P. Raimondi [ESRF, Grenoble, France] ","DANE Collider with Crab Waist Scheme: from KLOE-2 to SIDDHARTA-2 Experiment",99 98,
moxmh02,"D.B. Shwartz, V.V. Anashin, A.M. Batrakov, O.V. Belikov, D.E. Berkaev, D.B. Burenkov, K. Gorchakov, A.S. Kasaev, A.N. Kirpotin, I. Koop, A.A. Krasnov, G.Y. Kurkin, A.P. Lysenko, S.V. Motygin, A.V. Otboev, A.V. Pavlenko, E. Perevedentsev, V.P. Prosvetov, D.V. Rabusov, Yu. A. Rogovsky, A.M. Semenov, A.I. Senchenko, D.N. Shatilov, P.Yu. Shatunov, Y.M. Shatunov, O.S. Shubina, M.V. Timoshenko, S.S. Vasichev, V.D. Yudin, I.M. Zemlyansky, Yu.M. Zharinov [BINP SB RAS, Novosibirsk, Russia] I. Koop, A.A. Krasnov, E. Perevedentsev, Yu. A. Rogovsky, A.I. Senchenko, Y.M. Shatunov, O.S. Shubina, D.B. Shwartz [NSU, Novosibirsk, Russia] ","VEPP-2000 Collider Operation in Full Energy Range with New Injector",7 11,
moxmh03,"E. Syresin, O.I. Brovko, A.V. Butenko, E.E. Donets, E.V. Gorbachev, A. Govorov, V. Karpinsky, V. Kekelidze, H.G. Khodzhibagiyan, S.A. Kostromin, A.D. Kovalenko, O.S. Kozlov, K.A. Levterov, I.N. Meshkov, A.O. Sidorin, V. Slepnev, A.V. Smirnov, G.V. Trubnikov, A. Tuzikov, V. Volkov [JINR, Dubna, Moscow Region, Russia] V.V. Parkhomchuk, A.G. Tribendis, A.N. Zhuravlev [BINP SB RAS, Novosibirsk, Russia] ","Status of Accelerator Complex NICA",12 16,
thcamh02,"S.I. Tzenov [IFIN-HH, Bucharest - Magurele, Romania] ","Solitary and Shock Waves in Free and Magnetized Quasi-neutral Laser Induced Plasmas",88 93,
thcbmh02,"V.V. Paramonov, A.K. Skasyrskaya [RAS/INR, Moscow, Russia] B.L. Militsyn [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] ","Evaluations of Parameters Stability of S-Band RF Gun Cavity Due to Effects of Pulsed RF Heating",100 102,
thcdmh01,"S.A. Artamonov, E.M. Ivanov, G.A. Riabov [PNPI, Gatchina, Leningrad District, Russia] ","Magnetic Field of the 40-80 MeV H- Cyclotron C-80: Experiments and Calculations",103 105,
thcdmh02,"Bochkov, V.D. Bochkov, D.V. Bochkov [Pulsed Technologies Ltd, Ryazan, Russia] O.V. Anchugov, D.A. Shvedov [BINP SB RAS, Novosibirsk, Russia] A.A. Fateev [JINR, Dubna, Russia] M.P. Ovsienko, V.A. Sytchev [IHEP, Moscow Region, Russia] ","Power Supply Systems of High-Voltage Kickers on the Basis of TPI- and TDI-Thyratrons",106 109,
thcdmh03,"A.V. Smirnov, A.R. Galimov, A.N. Svidetelev [JINR, Dubna, Moscow Region, Russia] ","Challenges of Obtaining of Ultra-High Vacuum in NICA Project",110 112,
thcdmh05,"G.Y. Kurkin, Y.A. Biryuchevsky, E. Kenzhebulatov, A.A. Kondakov, A,Yu. Martynovsky, S.V. Motygin, V.N. Osipov, A.M. Pilan, E. Rotov, I.K. Sedlyarov, A.G. Tribendis [BINP SB RAS, Novosibirsk, Russia] ","New RF System for VEPP-5 Damping Ring",113 115,
thcemh01,"A.I. Senchenko, G.A. Fatkin, E.S. Kotov, S.S. Serednyakov, V. Sitnov [NSU, Novosibirsk, Russia] G.A. Fatkin, E.S. Kotov, A.I. Senchenko, S.S. Serednyakov, V. Sitnov [BINP SB RAS, Novosibirsk, Russia] ","TANGO Activities in BINP",116 118,
thcemh02,"G.A. Fatkin, Ya.M. Macheret, A.N. Selivanov, A.I. Senchenko, M.Yu. Vasilyev [BINP SB RAS, Novosibirsk, Russia] G.A. Fatkin, A.I. Senchenko, M.Yu. Vasilyev [NSU, Novosibirsk, Russia] ","Modern Digital Synchronization Systems for Large Particle Accelerators",119 121,
thcemh03,"A.N. Kuzhlev, Yu.N. Gavrish, P.A. Gnutov, A.S. Ivanenkov [NIIEFA, St. Petersburg, Russia] ","Experience on the Application of Automatic Control Systems for Cyclotrons with Different Energies of Accelerated Particles",122 124,
thcemh04,"Yu. A. Rogovsky, E. Perevedentsev, D.B. Shwartz, M.V. Timoshenko, Yu.M. Zharinov [BINP SB RAS, Novosibirsk, Russia] E. Perevedentsev, Yu. A. Rogovsky, D.B. Shwartz [NSU, Novosibirsk, Russia] ","Current Dependence of Bunch Dimensions in VEPP-2000 Collider",125 127,
